,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,Longhua,0,CN,1578890249,33,23.61,114.19,76.59,1.83
121,Logan,90,US,1578890226,73,41.74,-111.83,34.0,11.41
122,Lorengau,100,PG,1578890253,76,-2.02,147.27,84.13,17.76
123,Berlevag,90,NO,1578890255,86,70.86,29.09,26.6,13.87
124,Itacoatiara,78,BR,1578890257,97,-3.14,-58.44,73.18,1.03
125,Bonavista,100,CA,1578890259,89,48.65,-53.11,24.01,3.0
126,Darhan,0,MN,1578890261,83,49.49,105.92,0.0,2.91
127,Smirnykh,78,RU,1578890264,92,49.75,142.83,5.2,2.48
128,Olafsvik,98,IS,1578890266,74,64.89,-23.71,31.64,21.52
129,Mount Isa,40,AU,1578890268,19,-20.73,139.5,104.0,8.05
130,Zboriv,81,UA,1578890270,82,49.66,25.14,31.15,9.55
131,Laguna,75,US,1578890272,81,38.42,-121.42,50.0,5.82
132,Poum,53,NC,1578890274,77,-20.23,164.02,80.24,24.83
133,Waipawa,98,NZ,1578890276,77,-41.41,175.52,61.0,16.11
134,Chokurdakh,99,RU,1578890278,94,70.63,147.92,-23.31,1.19
135,Riviere-au-Renard,90,CA,1578890280,78,49.0,-64.4,10.4,9.17
136,Mapiri,100,BO,1578890282,99,-15.25,-68.17,67.1,0.58
137,Umm Kaddadah,0,SD,1578890285,35,13.6,26.69,58.01,14.65
138,Vardo,75,NO,1578890287,100,70.37,31.11,28.4,11.41
139,Okhotsk,56,RU,1578890289,77,59.38,143.3,-14.76,6.64
140,Sungaipenuh,93,ID,1578890291,70,-2.08,101.38,74.8,2.64
141,Hermanus,0,ZA,1578890293,85,-34.42,19.23,69.01,17.2
142,Booue,11,GA,1578890295,92,-0.09,11.94,72.41,1.14
143,Oxford,53,GB,1578890297,93,51.75,-1.26,45.0,10.29
144,Bonthe,17,SL,1578890299,94,7.53,-12.51,73.22,4.25
145,Ahipara,67,NZ,1578890301,75,-35.17,173.17,66.74,12.55
146,Mar del Plata,0,AR,1578890207,82,-38.0,-57.56,62.01,8.25
147,Isangel,75,VU,1578890305,74,-19.55,169.27,84.2,11.41
148,Qandala,13,SO,1578890307,61,11.47,49.87,74.97,12.82
149,Souillac,75,MU,1578890309,94,-20.52,57.52,81.0,6.93
150,Auki,97,SB,1578890312,79,-8.77,160.7,84.31,20.36
151,Provideniya,90,RU,1578890314,86,64.38,-173.3,28.4,22.37
152,Lebu,77,CL,1578890316,87,-37.62,-73.65,57.85,8.14
153,Trat,20,TH,1578890318,59,12.5,102.5,89.6,8.05
154,Carnarvon,10,AU,1578890320,55,-24.87,113.63,86.0,23.04
155,Lenoir City,75,US,1578890322,87,35.8,-84.26,48.0,1.21
156,Sioux Lookout,5,CA,1578890324,76,50.1,-91.92,1.4,3.36
157,Kodiak,90,US,1578890326,74,57.79,-152.41,37.99,13.87
158,Katherine,83,AU,1578890328,39,-14.47,132.27,95.0,4.7
159,Hilo,75,US,1578890330,74,19.73,-155.09,78.8,3.8
160,Dunedin,1,NZ,1578890332,54,-45.87,170.5,60.01,8.99
161,Wallacetown,0,NZ,1578890334,57,-46.33,168.27,57.99,11.99
162,Norman Wells,5,CA,1578890336,75,65.28,-126.83,-20.2,5.82
163,Dikson,81,RU,1578890338,93,73.51,80.55,4.91,12.91
